序号,点位ID,点位名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,经度 (Lng),纬度 (Lat),景观分类,点位意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词),AI Music Prompt (English),Midjourney视觉提示词 (Visual Prompt),对照音乐曲名,音乐创作者/艺术家,音乐匹配类型,对应的音乐文件
58,geneva,日内瓦湖 · 莱蒙湖大喷泉,Lake Geneva (Lac Léman),瑞士,瑞士/法国 · 日内瓦,6.55,46.453,宁静湖泊 / 高原圣湖,阿尔卑斯雪山环抱中的月牙形大湖。大喷泉直冲云霄，西庸古堡伫立于湖畔岩石上，白天鹅悠游其间，优雅宁静。,西庸古堡、大喷泉、雪山倒影、瑞士田园,70,Classical Romantic · B Flat,双簧管 · 钢琴伴奏 · 湖面微浪拍击,环境声场,日内瓦湖浪漫古典器乐、钢琴与双簧管、波光粼粼、优雅天鹅、放松心情、BPM 70、Classical Romantic · B Flat、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 70 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Lake Geneva (Lac Léman) (日内瓦湖 · 莱蒙湖大喷泉), 瑞士/法国 · 日内瓦, breathtaking view, 西庸古堡, 大喷泉, 雪山倒影, 瑞士田园, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",马尔代夫 · 蓝色环礁,GeoMelody AI · 马尔代夫,分类意境伴奏,suno_026_maldives.mp3
59,como,意大利科莫湖 · 贝拉焦半岛,Lake Como & Bellagio,意大利,意大利 · 伦巴第大区,9.2625,45.9867,宁静湖泊 / 高原圣湖,阿尔卑斯南麓的度假胜地，两岸依山分布着百年贵族庄园与花团锦簇的别墅。阳光洒落湖面，泛舟湖上享受意式甜蜜生活。,意式庄园、贝拉焦半岛、阿尔卑斯湖泊、优雅惬意,72,Italian Serenade · G Major,曼陀林 · 古典吉他 · 湖水荡漾,环境声场,科莫湖意式浪漫小夜曲、曼陀林与古典吉他、夏日湖畔、轻松惬意、BPM 72、Italian Serenade · G Major、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 72 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Lake Como & Bellagio (意大利科莫湖 · 贝拉焦半岛), 意大利 · 伦巴第大区, breathtaking view, 意式庄园, 贝拉焦半岛, 阿尔卑斯湖泊, 优雅惬意, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
60,banff,班夫国家公园 · 梦莲湖,Banff National Park & Moraine Lake,加拿大,加拿大 · 艾伯塔省,-116.186,51.3217,宁静湖泊 / 高原圣湖,落基山脉十峰山谷下的冰川融湖。湖水呈现奇迹般璀璨的宝石蓝，独木舟轻轻划破如镜水面，两岸针叶林倒映其间。,落基山明珠、十峰谷、冰川宝石蓝、独木舟泛舟,60,Nordic Acoustic · C Major,清脆木吉他 · 柔美弦乐 · 划水声 · 针叶林清风,山间清风 / 微风拂过,加拿大落基山原声吉他与弦乐、宝石蓝湖水微澜、独木舟慢游、空灵清新、BPM 60、Nordic Acoustic · C Major、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Banff National Park & Moraine Lake (班夫国家公园 · 梦莲湖), 加拿大 · 艾伯塔省, breathtaking view, 落基山明珠, 十峰谷, 冰川宝石蓝, 独木舟泛舟, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
61,gugong,北京故宫博物院,The Palace Museum (Forbidden City),中国,中国 · 北京市东城区,116.3972,39.9163,古镇水乡 / 历史村落,明清两代皇家宫殿，红墙金瓦，气势恢宏。角楼倒映在护城河的微澜中，雪落紫禁城时，尽显华夏千年古都沉静庄严的东方意蕴。,国家5A级、世界文化遗产、紫禁城、太和殿、角楼夜色,62,宫调 · 432Hz 皇家正声,编钟 · 古琴 · 箫 · 庭院风铃,古刹钟声 / 远山清钟,中国皇家宫廷古典器乐，编钟与古琴，庄严肃穆，空灵悠扬，无歌词、BPM 62、宫调 · 432Hz 皇家正声、古刹钟声 / 远山清钟、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 62 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of The Palace Museum (Forbidden City) (北京故宫博物院), 中国 · 北京市东城区, breathtaking view, 国家5A级, 世界文化遗产, 紫禁城, 太和殿, 角楼夜色, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",乌镇水乡,GeoMelody AI · 中国,分类意境伴奏,suno_001_wuzhen.mp3
62,greatwall,八达岭万里长城,Great Wall of China (Badaling),中国,中国 · 北京市延庆区,116.0152,40.3582,名山胜岳 / 巍峨雪峰,宛若巨龙蜿蜒横亘于崇山峻岭之上。烽火台巍峨耸立，极目远眺，群山叠嶂，千载烽烟尽付秋风苍茫之中。,国家5A级、世界七大奇迹、不到长城非好汉、烽火台,66,角调 · 雄浑苍茫,埙 · 琵琶大曲 · 高山罡风,山间清风 / 微风拂过,中国风雄浑埙与琵琶，崇山峻岭清风，历史苍茫，壮怀激烈，纯器乐、BPM 66、角调 · 雄浑苍茫、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 66 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Great Wall of China (Badaling) (八达岭万里长城), 中国 · 北京市延庆区, breathtaking view, 国家5A级, 世界七大奇迹, 不到长城非好汉, 烽火台, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
63,summerpalace,北京颐和园,Summer Palace Beijing,中国,中国 · 北京市海淀区,116.2755,39.9998,宁静湖泊 / 高原圣湖,万寿山下，昆明湖畔。十七孔桥金光穿洞，画舫泛波于碧水之间，长廊彩绘蜿蜒千米，乃中国皇家园林艺术的绝美典范。,国家5A级、世界文化遗产、十七孔桥、昆明湖、皇家园林,68,羽调 · 昆明烟波,竹笛 · 阮咸 · 柔波荡漾,烟雨滴檐 / 细雨淅淅,古典皇家园林曲调，竹笛与中阮，湖水涟漪，画舫轻摇，静美清幽、BPM 68、羽调 · 昆明烟波、烟雨滴檐 / 细雨淅淅、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 68 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Summer Palace Beijing (北京颐和园), 中国 · 北京市海淀区, breathtaking view, 国家5A级, 世界文化遗产, 十七孔桥, 昆明湖, 皇家园林, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
64,forbiddencity,北京故宫紫禁城,Forbidden City Beijing,中国,中国 · 北京市东城区,116.3971,39.9163,历史奇迹 / 古代文明,红墙金瓦，六百年巍峨帝阙。太和殿前云气缭绕，角楼倒映护城河夕照，回荡着华夏文明的宏大历史回响。,世界文化遗产、国家5A级、紫禁城、太和殿、角楼夕照,72,宫调 · 紫禁龙骧,编钟 · 古琴 · 琵琶 · 大堂鼓,山间清风 / 微风拂过,中国宫廷宏伟古风纯音乐，编钟古琴，庄严肃穆，厚重历史感、BPM 72、宫调 · 紫禁龙骧、山间清风 / 微风拂过、高清无损立体声,"ancient heritage soundtrack, ethnic instruments, monumental hall reverb, historical grandeur, poetic and timeless, instrumental, no vocals, 72 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Forbidden City Beijing (北京故宫紫禁城), 中国 · 北京市东城区, breathtaking view, 世界文化遗产, 国家5A级, 紫禁城, 太和殿, 角楼夕照, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",贡嘎雪山 · 蜀山之王,GeoMelody AI · 中国,分类意境伴奏,suno_018_gongga.mp3
65,templeofheaven,北京天坛祈年殿,Temple of Heaven Beijing,中国,中国 · 北京市东城区,116.4128,39.8837,历史奇迹 / 古代文明,三重蓝琉璃瓦顶直插苍穹，汉白玉基座层层环绕。古柏森森，回音壁前轻语犹在，天人合一之至高哲学体现。,世界文化遗产、国家5A级、祈年殿、天人合一、古柏森森,60,角调 · 祈天之音,古瑟 · 洞箫 · 铜磬 · 晨钟,古刹钟声 / 远山清钟,天坛祭天古韵，铜磬悠远，洞箫清越，天地苍茫，空灵神圣、BPM 60、角调 · 祈天之音、古刹钟声 / 远山清钟、高清无损立体声,"ancient heritage soundtrack, ethnic instruments, monumental hall reverb, historical grandeur, poetic and timeless, instrumental, no vocals, 60 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Temple of Heaven Beijing (北京天坛祈年殿), 中国 · 北京市东城区, breathtaking view, 世界文化遗产, 国家5A级, 祈年殿, 天人合一, 古柏森森, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
66,badalinggreatwall,北京八达岭长城,Badaling Great Wall Beijing,中国,中国 · 北京市延庆区,116.0152,40.3598,名山胜岳 / 巍峨雪峰,不到长城非好汉。巨龙蜿蜒盘旋于崇山峻岭之巅，烽火台俯瞰燕山雄关，秋风吹拂千年金戈铁马。,世界七大奇迹、世界文化遗产、八达岭、燕山雄关,80,商调 · 烽燧雄关,埙 · 战鼓 · 琵琶大潮,山间清风 / 微风拂过,雄浑长城古风乐，埙与琵琶，万山叠嶂，历史长风呼啸、BPM 80、商调 · 烽燧雄关、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 80 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Badaling Great Wall Beijing (北京八达岭长城), 中国 · 北京市延庆区, breathtaking view, 世界七大奇迹, 世界文化遗产, 八达岭, 燕山雄关, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
67,shichahai,北京什刹海后海,Shichahai Lake Beijing,中国,中国 · 北京市西城区,116.3889,39.9405,宁静湖泊 / 高原圣湖,银锭观山，柳岸斜阳。摇橹船轻荡后海微波，四合院胡同深处传来鸽哨与京胡声，最地道的老北京水乡风情。,国家4A级、银锭桥、胡同京韵、摇橹船、什刹海,76,微调 · 银锭晚风,三弦 · 琵琶 · 鸽哨 · 柳浪水声,环境声场,老北京后海民谣风情，三弦轻弹，清脆鸽哨，夏夜晚风，舒适治愈、BPM 76、微调 · 银锭晚风、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 76 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Shichahai Lake Beijing (北京什刹海后海), 中国 · 北京市西城区, breathtaking view, 国家4A级, 银锭桥, 胡同京韵, 摇橹船, 什刹海, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",丽江古城,GeoMelody AI · 中国,分类意境伴奏,suno_005_lijiang.mp3
68,yonghegong,北京雍和宫,Yonghe Palace Beijing,中国,中国 · 北京市东城区,116.4178,39.9472,历史奇迹 / 古代文明,藏传佛教皇家寺院，藏香缭绕，法铃清脆。高耸万福阁内伫立迈达拉巨佛，红墙黄瓦间沉淀着万千虔诚与宁静。,国家5A级、皇家寺院、万福阁、藏香古刹、祈福胜地,56,禅调 · 梵音清净,颂钵 · 铜铃 · 诵经长音,古刹钟声 / 远山清钟,藏地与京城寺院梵音，颂钵空灵，铜铃轻响，抚慰心灵，极度治愈、BPM 56、禅调 · 梵音清净、古刹钟声 / 远山清钟、高清无损立体声,"ancient heritage soundtrack, ethnic instruments, monumental hall reverb, historical grandeur, poetic and timeless, instrumental, no vocals, 56 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Yonghe Palace Beijing (北京雍和宫), 中国 · 北京市东城区, breathtaking view, 国家5A级, 皇家寺院, 万福阁, 藏香古刹, 祈福胜地, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",梅里雪山 · 卡瓦格博,GeoMelody AI · 中国,分类意境伴奏,suno_014_meili.mp3
69,nanluoguxiang,北京南锣鼓巷与钟鼓楼,Nanluoguxiang & Drum Tower Beijing,中国,中国 · 北京市东城区,116.4022,39.9388,都会风情 / 人文地标,暮鼓晨钟，七百载古巷幽深。灰砖灰瓦四合院，槐树荫下自行车铃叮咚，现代艺术与老北京胡同肌理完美交融。,历史文化街区、钟鼓楼、四合院、胡同慢生活,82,羽调 · 胡同慢调,木吉他 · 手风琴 · 叮咚车铃,环境声场,北京胡同慢调Lofi纯音乐，木吉他清脆，手风琴悠扬，闲适惬意、BPM 82、羽调 · 胡同慢调、环境声场、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 82 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Nanluoguxiang & Drum Tower Beijing (北京南锣鼓巷与钟鼓楼), 中国 · 北京市东城区, breathtaking view, 历史文化街区, 钟鼓楼, 四合院, 胡同慢生活, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",敦煌鸣沙山 · 月牙泉,GeoMelody AI · 中国,分类意境伴奏,suno_031_dunhuang.mp3
70,beihaipark,北京北海公园白塔,Beihai Park White Pagoda Beijing,中国,中国 · 北京市西城区,116.388,39.9255,宁静湖泊 / 高原圣湖,“让我们荡起双桨，小船儿推开波浪。” 琼华岛上藏式白塔巍然耸立，碧波荡漾，荷花映日，一代代人的童年浪漫记忆。,国家4A级、皇家御苑、琼华岛、白塔映湖、荡起双桨,70,宫调 · 荡漾双桨,童声旋律八音盒 · 竹笛 · 木吉他 · 湖水波浪,环境声场,轻柔童年回忆八音盒与竹笛，湖水波光粼粼，轻柔温暖，治愈怀旧、BPM 70、宫调 · 荡漾双桨、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 70 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Beihai Park White Pagoda Beijing (北京北海公园白塔), 中国 · 北京市西城区, breathtaking view, 国家4A级, 皇家御苑, 琼华岛, 白塔映湖, 荡起双桨, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",西塘古镇 · 烟雨长廊,GeoMelody AI · 中国,分类意境伴奏,suno_007_xitang.mp3
71,jingshanpark,北京景山公园万春亭,Jingshan Park Beijing,中国,中国 · 北京市西城区,116.3965,39.9242,名山胜岳 / 巍峨雪峰,北京内城中轴最高峰。登临万春亭，南望紫禁城金顶如海，北观钟鼓楼中轴连绵，落日余晖洒满整座千年古都。,中轴线核心、万春亭、俯瞰故宫、京城全景、落日余晖,64,徽调 · 登高揽胜,古筝 · 大提琴 · 晚风呼啸,山间清风 / 微风拂过,高处俯瞰壮丽落日，古筝与深情大提琴，辽阔庄严，黄昏史诗、BPM 64、徽调 · 登高揽胜、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Jingshan Park Beijing (北京景山公园万春亭), 中国 · 北京市西城区, breathtaking view, 中轴线核心, 万春亭, 俯瞰故宫, 京城全景, 落日余晖, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
